name,address,rating
The Capital Grille,"4200 Conroy Rd, Orlando, FL 32839, USA",4.5
The Cowfish Sushi Burger Bar,"6000 Universal Blvd #700, Orlando, FL 32819, USA",4.3
The Oceanaire Seafood Room,"9101 Universal Blvd, Orlando, FL 32819, USA",4.4
The Ravenous Pig,"565 W Fairbanks Ave, Winter Park, FL 32789, USA",4.5
The Rusty Spoon,"55 W Church St, Orlando, FL 32801, USA",4.5
Todd English's Bluezoo,"1500 Epcot Resorts Blvd, Orlando, FL 32830, USA",4.4
Via Napoli Ristorante e Pizzeria,"1510 Avenue of the Stars, Orlando, FL 32830, USA",4.3
Victoria &amp; Albert's,"4401 Floridian Way, Orlando, FL 32830, USA",4.8
Viet Garden,"1237 E Colonial Dr, Orlando, FL 32803, USA",4.5
Vines Grille &amp; Wine Bar,"7533 Sand Lake Rd, Orlando, FL 32819, USA",4.3
Winter Park Fish Company,"761 Orange Avenue, Winter Park, FL 32789, USA",4.4
Yachtsman Steakhouse,"1700 Epcot Resorts Blvd, Orlando, FL 32830, USA",4.5
Zaza New Cuban Diner,"3500 Curry Ford Rd, Orlando, FL 32806, USA",4.3
Zaza New Cuban Diner,"417 N Alafaya Trail, Orlando, FL 32828, USA",4.3
